"DEMO_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","JPN","Japan","2018","2018",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","KOR","Republic of Korea","2017","2017",1.1,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","KOR","Republic of Korea","2018","2018",1,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","LUX","Luxembourg","2017","2017",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","LUX","Luxembourg","2018","2018",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","MEX","Mexico","2017","2017",2.2,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","MEX","Mexico","2018","2018",2.1,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","NLD","Netherlands","2017","2017",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","NLD","Netherlands","2018","2018",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","NZL","New Zealand","2017","2017",1.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","NZL","New Zealand","2018","2018",1.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","NOR","Norway","2017","2017",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","NOR","Norway","2018","2018",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","POL","Poland","2017","2017",1.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","POL","Poland","2018","2018",1.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","PRT","Portugal","2017","2017",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","PRT","Portugal","2018","2018",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","SVK","Slovakia","2017","2017",1.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","SVK","Slovakia","2018","2018",1.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","AFG","Afghanistan","2017","2017",4.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","AFG","Afghanistan","2018","2018",4.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ALB","Albania","2017","2017",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ALB","Albania","2018","2018",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","DZA","Algeria","2017","2017",3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","DZA","Algeria","2018","2018",3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","AGO","Angola","2017","2017",5.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","AGO","Angola","2018","2018",5.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ATG","Antigua and Barbuda","2017","2017",2,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ATG","Antigua and Barbuda","2018","2018",2,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ARG","Argentina","2017","2017",2.3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ARG","Argentina","2018","2018",2.3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ARM","Armenia","2017","2017",1.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ARM","Armenia","2018","2018",1.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ABW","Aruba","2017","2017",1.9,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ABW","Aruba","2018","2018",1.9,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","AZE","Azerbaijan","2017","2017",1.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","AZE","Azerbaijan","2018","2018",1.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BHS","Bahamas","2017","2017",1.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BHS","Bahamas","2018","2018",1.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BHR","Bahrain","2017","2017",2,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BHR","Bahrain","2018","2018",2,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BGD","Bangladesh","2017","2017",2.1,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BGD","Bangladesh","2018","2018",2,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BRB","Barbados","2017","2017",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BRB","Barbados","2018","2018",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BLZ","Belize","2017","2017",2.3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BLZ","Belize","2018","2018",2.3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BEN","Benin","2017","2017",4.9,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BEN","Benin","2018","2018",4.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BMU","Bermuda","2017","2017",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BMU","Bermuda","2018","2018",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BTN","Bhutan","2017","2017",2,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BTN","Bhutan","2018","2018",2,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BOL","Bolivia (Plurinational State of)","2017","2017",2.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BOL","Bolivia (Plurinational State of)","2018","2018",2.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BIH","Bosnia and Herzegovina","2017","2017",1.3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BIH","Bosnia and Herzegovina","2018","2018",1.3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BWA","Botswana","2017","2017",2.9,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BWA","Botswana","2018","2018",2.9,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BRA","Brazil","2017","2017",1.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BRA","Brazil","2018","2018",1.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BRN","Brunei Darussalam","2017","2017",1.9,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BRN","Brunei Darussalam","2018","2018",1.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BGR","Bulgaria","2017","2017",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BGR","Bulgaria","2018","2018",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BFA","Burkina Faso","2017","2017",5.3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BFA","Burkina Faso","2018","2018",5.2,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BDI","Burundi","2017","2017",5.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BDI","Burundi","2018","2018",5.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","KHM","Cambodia","2017","2017",2.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","KHM","Cambodia","2018","2018",2.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","CMR","Cameroon","2017","2017",4.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","CMR","Cameroon","2018","2018",4.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","CPV","Cabo Verde","2017","2017",2.3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","CPV","Cabo Verde","2018","2018",2.3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","CAF","Central African Republic","2017","2017",4.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","CAF","Central African Republic","2018","2018",4.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","TCD","Chad","2017","2017",5.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","TCD","Chad","2018","2018",5.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","CHL","Chile","2017","2017",1.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","CHL","Chile","2018","2018",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","CHN","China","2017","2017",1.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","CHN","China","2018","2018",1.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","COL","Colombia","2017","2017",1.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","COL","Colombia","2018","2018",1.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","COM","Comoros","2017","2017",4.3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","COM","Comoros","2018","2018",4.2,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","COG","Congo","2017","2017",4.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","COG","Congo","2018","2018",4.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","CRI","Costa Rica","2017","2017",1.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","CRI","Costa Rica","2018","2018",1.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","CIV","Côte d'Ivoire","2017","2017",4.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","CIV","Côte d'Ivoire","2018","2018",4.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","HRV","Croatia","2017","2017",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","HRV","Croatia","2018","2018",1.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","CUB","Cuba","2017","2017",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","CUB","Cuba","2018","2018",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","CYP","Cyprus","2017","2017",1.3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","CYP","Cyprus","2018","2018",1.3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","PRK","Democratic People's Republic of Korea","2017","2017",1.9,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","PRK","Democratic People's Republic of Korea","2018","2018",1.9,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","COD","Democratic Republic of the Congo","2017","2017",6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","COD","Democratic Republic of the Congo","2018","2018",5.9,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","DJI","Djibouti","2017","2017",2.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","DJI","Djibouti","2018","2018",2.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","DOM","Dominican Republic","2017","2017",2.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","DOM","Dominican Republic","2018","2018",2.3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ECU","Ecuador","2017","2017",2.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ECU","Ecuador","2018","2018",2.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","EGY","Egypt","2017","2017",3.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","EGY","Egypt","2018","2018",3.3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","SLV","El Salvador","2017","2017",2.1,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","SLV","El Salvador","2018","2018",2,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","GNQ","Equatorial Guinea","2017","2017",4.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","GNQ","Equatorial Guinea","2018","2018",4.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ERI","Eritrea","2017","2017",4.1,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ERI","Eritrea","2018","2018",4.1,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","EST","Estonia","2017","2017",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","EST","Estonia","2018","2018",1.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ETH","Ethiopia","2017","2017",4.3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ETH","Ethiopia","2018","2018",4.2,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","FJI","Fiji","2017","2017",2.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","FJI","Fiji","2018","2018",2.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","PYF","French Polynesia","2017","2017",2,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","PYF","French Polynesia","2018","2018",1.9,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","GAB","Gabon","2017","2017",4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","GAB","Gabon","2018","2018",4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","GMB","Gambia","2017","2017",5.3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","GMB","Gambia","2018","2018",5.2,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","GEO","Georgia","2017","2017",2.1,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","GEO","Georgia","2018","2018",2.1,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","GHA","Ghana","2017","2017",3.9,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","GHA","Ghana","2018","2018",3.9,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","GRL","Greenland","2017","2017",2.1,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","GRL","Greenland","2018","2018",2,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","GRD","Grenada","2017","2017",2.1,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","GRD","Grenada","2018","2018",2.1,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","GUM","Guam","2017","2017",2.3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","GUM","Guam","2018","2018",2.3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","GTM","Guatemala","2017","2017",2.9,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","GTM","Guatemala","2018","2018",2.9,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","GIN","Guinea","2017","2017",4.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","GIN","Guinea","2018","2018",4.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","GNB","Guinea-Bissau","2017","2017",4.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","GNB","Guinea-Bissau","2018","2018",4.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","GUY","Guyana","2017","2017",2.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","GUY","Guyana","2018","2018",2.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","HTI","Haiti","2017","2017",3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","HTI","Haiti","2018","2018",2.9,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","HND","Honduras","2017","2017",2.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","HND","Honduras","2018","2018",2.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","HKG","China, Hong Kong Special Administrative Region","2017","2017",1.1,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","HKG","China, Hong Kong Special Administrative Region","2018","2018",1.1,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","IND","India","2017","2017",2.2,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","IND","India","2018","2018",2.2,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","IDN","Indonesia","2017","2017",2.3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","IDN","Indonesia","2018","2018",2.3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","IRN","Iran (Islamic Republic of)","2017","2017",2.1,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","IRN","Iran (Islamic Republic of)","2018","2018",2.1,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","IRQ","Iraq","2017","2017",3.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","IRQ","Iraq","2018","2018",3.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ISR","Israel","2017","2017",3.1,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ISR","Israel","2018","2018",3.1,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","JAM","Jamaica","2017","2017",2,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","JAM","Jamaica","2018","2018",2,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","JOR","Jordan","2017","2017",2.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","JOR","Jordan","2018","2018",2.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","KAZ","Kazakhstan","2017","2017",2.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","KAZ","Kazakhstan","2018","2018",2.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","KEN","Kenya","2017","2017",3.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","KEN","Kenya","2018","2018",3.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","KIR","Kiribati","2017","2017",3.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","KIR","Kiribati","2018","2018",3.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","KWT","Kuwait","2017","2017",2.1,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","KWT","Kuwait","2018","2018",2.1,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","KGZ","Kyrgyzstan","2017","2017",3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","KGZ","Kyrgyzstan","2018","2018",3.3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","LAO","Lao People's Democratic Republic","2017","2017",2.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","LAO","Lao People's Democratic Republic","2018","2018",2.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","LVA","Latvia","2017","2017",1.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","LVA","Latvia","2018","2018",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","LBN","Lebanon","2017","2017",2.1,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","LBN","Lebanon","2018","2018",2.1,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","LSO","Lesotho","2017","2017",3.2,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","LSO","Lesotho","2018","2018",3.1,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","LBR","Liberia","2017","2017",4.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","LBR","Liberia","2018","2018",4.3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","LBY","Libya","2017","2017",2.3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","LBY","Libya","2018","2018",2.2,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","LIE","Liechtenstein","2017","2017",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","LIE","Liechtenstein","2018","2018",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","LTU","Lithuania","2017","2017",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","LTU","Lithuania","2018","2018",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","MKD","North Macedonia","2017","2017",1.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","MKD","North Macedonia","2018","2018",1.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","MDG","Madagascar","2017","2017",4.1,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","MDG","Madagascar","2018","2018",4.1,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","MWI","Malawi","2017","2017",4.3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","MWI","Malawi","2018","2018",4.2,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","MYS","Malaysia","2017","2017",2,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","MYS","Malaysia","2018","2018",2,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","MDV","Maldives","2017","2017",1.9,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","MDV","Maldives","2018","2018",1.9,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","MLI","Mali","2017","2017",6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","MLI","Mali","2018","2018",5.9,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","MLT","Malta","2017","2017",1.3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","MLT","Malta","2018","2018",1.2,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","MRT","Mauritania","2017","2017",4.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","MRT","Mauritania","2018","2018",4.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","MUS","Mauritius","2017","2017",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","MUS","Mauritius","2018","2018",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","FSM","Micronesia (Federated States of)","2017","2017",3.1,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","FSM","Micronesia (Federated States of)","2018","2018",3.1,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","MDA","Republic of Moldova","2017","2017",1.3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","MDA","Republic of Moldova","2018","2018",1.3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","MNG","Mongolia","2017","2017",2.9,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","MNG","Mongolia","2018","2018",2.9,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","MAR","Morocco","2017","2017",2.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","MAR","Morocco","2018","2018",2.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","MOZ","Mozambique","2017","2017",4.9,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","MOZ","Mozambique","2018","2018",4.9,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","MMR","Myanmar","2017","2017",2.2,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","MMR","Myanmar","2018","2018",2.2,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","NAM","Namibia","2017","2017",3.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","NAM","Namibia","2018","2018",3.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","NPL","Nepal","2017","2017",2,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","NPL","Nepal","2018","2018",1.9,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","NCL","New Caledonia","2017","2017",2,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","NCL","New Caledonia","2018","2018",2,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","NIC","Nicaragua","2017","2017",2.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","NIC","Nicaragua","2018","2018",2.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","NER","Niger","2017","2017",7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","NER","Niger","2018","2018",6.9,,
